credit,sex,edu,marriage,age,isPay1,isPay2,bill1,bill2,payAmt1,payAmt1,target_variable
310000,1,3,1,32,0,0,172772,152397,8295,6000,0
10000,2,3,1,49,-1,-1,32,-358,0,0,1
50000,1,2,1,28,-1,-1,430,0,0,46257,0
80000,2,3,1,52,2,2,36649,39448,3700,1600,1
270000,1,1,2,34,1,2,20979,17228,0,4000,0
140000,2,3,1,30,0,0,93157,96304,4700,4505,0
200000,1,2,2,26,-1,-1,1747,11817,12957,3884,0
150000,1,2,2,37,-1,0,69012,63265,2500,2500,0
20000,2,2,2,22,0,0,16990,17960,3000,3001,0
230000,2,2,2,36,-2,-1,858,885,885,669,0
120000,2,2,2,30,0,0,16812,17571,1358,1126,0
20000,1,3,2,23,0,0,8038,9060,1161,2701,1
470000,1,1,2,35,0,0,211775,218246,9883,6000,0
120000,1,3,1,54,-1,3,632,632,0,0,0
310000,2,2,1,29,0,0,182202,162547,5118,3758,0
30000,1,2,1,38,0,0,29723,30428,2000,2000,0
140000,2,3,2,26,2,0,144010,142724,5301,5400,1
240000,2,1,2,29,0,0,191059,197548,10000,10000,0
330000,1,1,2,31,0,0,163406,137664,7558,5000,0
50000,1,2,1,45,0,0,14488,15798,1558,1627,0
280000,1,1,2,41,-2,-2,5819,14656,3683,9059,0
300000,2,1,1,40,0,0,121603,125098,30000,25000,0
270000,2,1,1,31,0,0,86716,88329,6000,6005,0
490000,1,1,2,29,-1,-1,264,678,678,571,0
200000,2,1,1,32,1,-2,0,0,0,0,0
360000,2,2,1,47,0,0,93431,93784,3389,3357,0
20000,1,3,1,43,0,0,18100,17926,2000,3000,0
290000,1,2,1,53,-1,0,4975,3688,1027,1000,0
150000,2,2,1,42,0,0,15878,10389,1300,1040,0
80000,1,2,1,27,0,0,58777,60201,3000,3000,0
250000,1,2,1,29,1,-2,-24,-24,0,0,0
200000,2,3,2,49,-1,-1,1801,181,181,4126,0
300000,2,1,2,26,-1,0,48729,47798,7500,18340,0
130000,1,1,2,46,0,0,110766,114977,6000,9000,1
550000,2,5,2,52,-2,-2,277376,266532,6001,6016,0
50000,1,3,1,34,0,0,6808,6198,1318,19776,0
120000,1,3,1,38,-1,-1,3465,5543,5558,5479,0
260000,2,1,2,53,0,0,235073,235704,30000,10087,0
200000,1,2,2,32,-2,-2,1473,1473,1473,390,0
200000,2,3,1,44,0,0,34760,37871,4000,3000,0
180000,1,1,1,39,0,0,274731,281713,11000,145000,0
30000,1,2,1,43,3,2,1700,2610,1100,0,0
50000,1,1,2,34,-1,-1,27465,24125,24125,60003,0
160000,2,3,1,51,-2,-2,0,0,0,0,0
130000,2,2,2,23,-2,-2,-169,3464,4739,22271,0
130000,2,2,2,23,-2,-2,136,0,0,0,0
310000,1,1,1,45,-2,-2,8964,1168,1174,6527,0
120000,1,2,1,44,0,0,92007,87939,5417,2847,0
50000,1,2,2,22,1,-1,0,1054,1054,1448,0
110000,1,3,2,49,0,0,113928,112775,4915,4379,0
200000,2,1,2,30,0,0,78866,74961,20000,2513,0
290000,2,1,3,29,0,0,221626,190440,6530,4200,1
200000,2,1,2,27,-1,-1,1171,0,0,0,0
80000,2,1,2,38,-2,-2,1927,446,446,909,0
60000,1,1,1,42,2,0,39986,41036,2000,2100,1
50000,1,2,2,29,1,2,37170,36297,0,4500,0
110000,1,1,2,33,0,0,12633,88334,80004,1500,0
50000,1,3,1,41,2,2,31303,35716,5700,0,0
70000,2,1,2,34,0,0,36467,40505,5000,5000,0
130000,2,1,1,35,0,0,81313,117866,40000,5000,0
200000,2,2,1,34,1,-1,-2,758,760,1000,0
390000,2,1,2,29,0,0,89953,107947,25000,35127,0
200000,2,1,2,33,0,0,19572,28858,10000,25000,0
210000,1,1,1,30,0,0,65600,63396,2300,3000,0
280000,1,2,1,37,0,0,149227,152331,5505,3258,0
30000,1,2,1,57,0,0,24911,26241,1750,2000,1
80000,2,3,1,39,0,0,18787,19869,1400,1352,0
500000,1,2,2,38,0,0,31504,27546,12160,6056,0
90000,2,2,2,30,0,0,75382,73980,3350,3300,1
340000,2,2,1,40,-2,-2,0,0,0,0,0
260000,2,2,1,33,0,0,151123,134736,4002,6067,1
90000,2,2,1,47,1,2,6681,6426,0,4000,0
30000,2,2,2,27,0,0,8476,9677,1500,1500,0
120000,2,1,2,25,1,-2,0,0,0,0,1
130000,2,1,2,23,0,0,102087,101079,4500,4363,0
60000,2,1,2,28,1,2,10540,10232,0,1483,0
140000,1,2,2,31,0,0,64300,62758,20009,32637,0
70000,2,2,1,43,0,0,38173,38750,1957,1700,0
80000,2,1,2,27,-1,-1,5060,0,0,3885,0
20000,2,2,2,22,0,0,19583,16810,1300,1409,0
130000,1,3,2,39,1,2,71034,69329,0,6000,0
320000,1,1,1,48,2,2,201932,215392,18300,8000,1
240000,1,2,2,43,0,0,236238,225318,8763,7539,0
10000,2,1,2,26,0,-1,9459,231,231,5000,0
110000,1,3,1,27,0,0,108435,109572,3509,1102,0
360000,1,2,1,43,1,-2,0,0,0,0,1
50000,1,2,2,26,1,-2,0,0,0,0,0
280000,1,1,2,28,0,0,139719,136052,6000,4000,0
260000,2,2,2,38,-2,-2,-2,-2,0,727,0
20000,1,2,2,32,0,0,15121,15424,1700,1488,0
260000,2,3,1,59,0,0,258885,261183,10000,11000,0
70000,2,2,2,23,1,2,17461,16892,0,1400,1
100000,2,3,1,46,2,2,42674,45983,4000,2000,1
60000,1,2,2,29,1,-2,0,0,0,0,1
420000,2,2,1,50,0,0,405779,412684,16000,15000,0
60000,2,2,2,31,-1,-1,326,1152,1152,0,0
100000,2,1,2,26,1,2,93295,95108,4200,4000,0
240000,2,1,2,28,1,-1,0,1748,1748,0,1
450000,1,1,1,42,-1,0,2549,20499,20449,2499,0
60000,2,4,2,23,0,0,60876,60606,2523,2155,0
100000,1,3,2,26,2,0,107643,109895,4048,3105,1
360000,1,1,1,30,0,0,98048,69568,4000,5000,0
340000,2,2,1,32,0,0,34228,96716,75113,2047,0
360000,1,1,2,35,-1,-1,2010,2936,2936,640,0
190000,2,1,1,43,-2,-2,1675,4873,4873,3472,0
160000,2,2,2,26,1,2,5654,796,398,0,0
210000,2,1,1,38,-1,-1,4868,13118,13174,16114,0
250000,2,1,1,43,-2,-2,331,0,0,0,0
30000,1,2,2,32,0,0,26742,29095,2800,2500,0
440000,1,1,2,31,0,0,37547,29349,20016,29748,0
140000,1,1,2,37,0,-1,3351,64555,64555,2898,1
20000,1,5,2,22,2,0,18565,17204,0,1200,0
200000,2,1,1,32,1,-2,0,0,0,0,0
50000,1,2,2,43,0,0,46594,47585,1768,2070,1
20000,1,3,2,50,-1,-1,2191,1140,1140,12656,0
120000,2,1,2,26,-1,-1,2897,481,485,721,0
410000,2,1,1,42,-1,-1,12327,2306,2324,4204,0
240000,2,2,1,27,0,0,133348,136296,5160,5328,1
130000,1,2,2,28,2,2,70952,69264,0,3000,1
180000,2,2,2,33,-2,-2,11281,3405,3411,22657,0
500000,1,1,2,32,0,0,208603,211340,8444,8009,0
360000,2,2,1,27,0,0,6449,3885,1108,1024,1
360000,2,3,1,27,0,0,115730,102973,4371,5438,0
20000,2,2,2,25,0,0,20195,19638,1376,1121,0
350000,1,3,2,41,-2,-2,-331,1656,2155,1440,0
120000,2,1,2,25,0,0,11431,6857,6000,3147,0
500000,2,1,1,36,2,0,197231,175599,8500,8341,1
20000,2,2,2,22,4,3,19529,18937,0,0,1
210000,2,2,2,28,0,0,2162,61,61,130000,0
200000,2,6,1,43,0,0,198595,194734,7003,7000,0
30000,2,2,1,53,0,0,26891,28151,2000,1500,0
280000,2,1,2,29,-1,-1,2187,1461,1469,53871,0
200000,2,1,1,36,0,-1,10317,5755,5788,8587,0
60000,2,1,2,30,0,0,24396,25463,1463,2036,0
80000,2,3,1,25,-2,-2,3377,3377,3377,3476,0
180000,1,2,1,44,-1,-1,1110,1110,1110,1110,0
140000,1,2,1,41,0,0,82309,92682,12682,13265,0
150000,1,5,1,36,0,0,220889,133616,3800,3900,0
50000,1,2,2,31,0,0,47709,47838,3007,5230,0
360000,2,2,1,42,-1,-1,22237,5683,6695,1632,0
100000,1,2,1,35,-1,-1,1131,291,291,291,0
50000,1,2,2,25,0,0,49899,35200,1679,2438,0
170000,2,2,1,49,-1,0,12769,13557,3557,8245,0
60000,1,1,2,31,2,2,61432,57751,0,4770,1
120000,2,3,1,36,0,0,9826,10838,1181,1219,1
70000,1,1,2,28,0,0,67857,69711,3000,1500,0
260000,1,1,2,29,0,0,256503,254732,9248,9021,1
70000,2,2,2,30,-1,0,69494,112821,2716,2570,1
320000,2,1,2,32,-1,0,13122,6796,1500,8000,0
210000,2,1,2,32,1,-2,-974,-974,0,21337,0
110000,2,2,1,40,0,0,107035,110156,4000,2500,0
160000,2,3,2,32,-1,-1,1375,3503,3645,2688,1
160000,2,2,2,36,-2,-2,2992,1300,1300,12038,0
10000,2,5,2,21,0,0,7691,8107,1192,1000,0
310000,1,1,2,28,0,0,272588,169978,9978,6699,1
160000,2,1,2,27,0,0,96441,98353,4406,4000,0
100000,2,3,2,50,0,0,82397,84027,3004,7500,0
70000,2,2,2,23,0,0,39935,40973,1683,1699,0
100000,2,1,2,24,0,0,30092,30486,1553,5000,0
150000,1,5,2,27,0,0,133374,40283,10000,10000,0
280000,1,3,1,44,0,0,295786,305529,15000,10472,0
50000,1,2,1,34,0,0,45398,37433,2008,2000,0
330000,2,2,1,30,0,0,155285,156122,10000,10000,0
80000,2,2,2,27,0,0,64561,47041,2176,1299,0
80000,2,2,1,27,-1,-1,1995,0,0,680,0
250000,2,2,2,27,0,0,4883,3090,2500,1000,0
240000,1,2,1,44,0,0,199446,200899,7500,10006,0
310000,2,1,2,32,-2,-2,90654,20784,27778,5649,0
70000,1,1,1,40,1,2,12026,13531,2000,0,0
210000,2,2,1,40,-2,-2,2245,1789,1794,4326,0
20000,1,2,1,31,-1,-1,836,390,390,780,1
20000,1,2,2,30,0,0,16320,28674,1238,1392,0
160000,2,1,2,32,-1,-1,1179,4042,4042,270,1
220000,2,5,1,37,2,2,189976,189665,15510,0,1
180000,2,1,2,28,0,0,230740,30873,1500,1660,0
360000,1,1,2,29,-2,-2,6906,4893,4893,508,0
190000,1,1,2,31,0,0,182396,187565,8300,5302,0
200000,1,2,1,36,1,-2,-1,-1,0,297,0
260000,2,1,1,30,1,-2,0,0,0,0,0
360000,2,1,1,36,-2,-2,0,0,0,0,1
220000,2,2,1,53,2,0,220389,223682,8490,8100,1
50000,2,1,2,24,-2,-2,894,1020,1020,0,0
70000,2,2,2,24,0,0,36175,0,0,0,0
190000,2,1,2,41,-1,-1,28204,0,0,16500,1
70000,2,2,2,22,0,0,31377,31420,6000,1125,0
150000,2,1,1,37,-1,-1,58337,0,0,0,0
270000,2,2,1,28,-2,-2,1459,-702,12,5011,0
390000,1,1,1,64,0,0,38383,38134,1608,1647,0
360000,2,2,2,37,-1,-1,1066,0,0,878,1
30000,1,3,2,28,0,0,22634,23638,1385,1440,1
230000,2,2,1,37,0,0,126251,128542,4500,4600,0
30000,2,3,2,26,0,0,28063,29304,1700,1407,0
130000,2,1,2,28,-2,-2,9821,8582,8611,0,1
130000,2,3,2,27,0,0,29645,28193,2000,5000,0
140000,2,2,1,37,-1,-1,326,326,326,326,1
270000,1,2,1,52,0,-1,18758,4937,4937,2000,0
300000,2,2,1,50,-2,-2,882,0,0,0,0
20000,2,3,2,56,0,0,11471,12188,1214,3100,0
320000,2,2,1,29,0,0,145907,150336,30236,5004,0
160000,1,2,2,28,-2,-2,0,0,0,0,0
500000,1,1,2,28,0,0,59646,49412,43018,3030,0
80000,2,3,1,27,1,2,79108,78637,3200,0,0
100000,2,3,2,53,0,0,101503,29880,1538,1777,0
200000,2,2,2,30,6,5,71310,69676,0,0,1
500000,2,1,2,34,-1,0,218570,218978,18978,18778,0
60000,2,2,1,35,0,0,57267,57225,3023,2245,0
50000,1,1,2,25,0,0,18595,18326,1310,1297,0
110000,1,1,2,25,2,0,109887,99030,3500,6748,1
50000,2,3,1,26,-1,2,6064,5432,0,1136,1
350000,2,1,2,32,-2,-2,384,717,717,409,0
140000,2,1,2,32,0,-1,10281,32163,32172,1476,0
300000,2,3,2,27,0,0,105786,113850,9000,4000,0
150000,2,2,2,38,-1,-1,5219,0,0,5200,0
380000,2,2,1,48,0,0,363191,373421,15504,14000,0
340000,2,2,2,32,0,0,169246,100967,6000,4500,0
150000,2,2,3,48,0,0,3611,5153,2000,1523,0
360000,2,2,2,35,-1,-1,61793,79467,79651,26943,0
50000,1,1,2,22,0,0,47726,51161,5500,0,1
50000,1,3,1,41,2,2,20186,15773,2700,103,1
130000,1,1,2,30,0,0,127253,135822,12207,0,0
50000,2,2,1,26,1,-1,0,1000,1000,0,0
150000,2,3,1,34,0,0,112391,98583,5000,4000,0
200000,2,3,1,51,1,-1,-186,846,1032,1350,0
20000,2,2,2,22,0,0,7130,8185,1177,1076,0
270000,2,1,1,35,2,0,128442,131185,6300,6800,0
320000,2,1,1,58,-2,-2,1100,0,0,0,0
160000,2,3,2,39,0,0,156000,155866,5559,7677,0
30000,2,2,1,38,0,0,23819,15367,1553,1033,0
90000,2,2,1,32,0,0,39664,24589,1657,1676,0
110000,2,1,1,44,0,0,87418,93862,7900,0,1
260000,1,2,2,31,0,0,3113,3117,1300,1100,0
50000,1,1,2,30,-1,-1,390,390,390,390,0
320000,2,3,1,33,0,0,71047,19161,2000,1300,0
100000,1,3,1,49,0,0,99721,86232,3500,5000,0
50000,2,2,2,24,0,0,26239,17824,1300,5869,0
100000,1,2,1,50,0,0,23908,3360,1000,560,0
470000,2,2,1,27,0,0,152478,62084,3001,4005,1
80000,2,2,1,35,0,0,63706,66613,5660,4688,0
400000,2,2,2,29,0,-1,52875,55544,55544,994,0
80000,2,3,1,50,2,3,2684,2502,0,0,0
70000,1,2,2,38,0,0,71586,59856,1308,15006,0
70000,1,2,2,29,0,0,56626,58512,2800,5000,1
280000,2,2,1,38,0,0,8868,14766,10006,10018,0
150000,2,1,1,30,-1,-1,107799,16332,16363,10149,0
150000,2,5,2,27,-2,-2,12178,22344,22452,65676,0
110000,2,1,1,42,0,0,47021,48235,2000,2000,0
