credit,sex,edu,marriage,age,isPay1,isPay2,bill1,bill2,payAmt1,payAmt1,target_variable
500000,1,3,1,53,-1,2,5008,546,1,0,0
320000,2,2,1,39,0,0,147440,137938,5009,6125,0
350000,2,2,1,36,1,-2,0,0,0,0,0
120000,2,3,1,47,-2,-2,0,0,0,0,0
250000,1,1,1,71,0,0,177484,177946,6243,5446,0
100000,1,2,1,52,0,0,64358,64956,2416,3000,0
500000,2,2,2,36,0,0,21368,21094,4066,5004,0
190000,1,2,1,36,0,0,79584,83108,7007,2912,0
70000,2,2,2,28,0,0,41264,41799,2112,1200,0
150000,1,3,2,25,-1,-1,9240,386,386,12884,0
150000,2,1,1,33,1,-1,-3,350,353,0,0
330000,2,2,1,42,0,0,18516,24202,10000,10000,0
260000,1,1,1,43,-1,-1,1350,0,0,0,0
240000,2,1,2,35,-2,-2,0,0,0,0,0
300000,1,2,1,39,0,0,127237,114506,4100,4600,0
170000,2,2,2,24,0,0,169398,143539,5679,6642,0
10000,1,3,2,23,0,0,6974,7838,1134,1298,0
110000,2,1,1,28,0,0,109474,110723,11602,4238,0
160000,1,2,2,28,-1,2,3498,3260,0,678,0
420000,2,2,2,29,0,0,82235,67757,3000,3000,0
50000,1,1,2,26,0,0,29021,28408,1768,1477,0
140000,1,3,2,26,0,0,18648,19561,1309,1139,0
240000,1,1,2,47,2,2,2500,0,0,0,1
80000,2,1,2,26,0,0,78128,71083,3362,1389,1
120000,2,1,2,33,2,0,18653,19844,1500,1400,1
450000,2,2,1,37,-1,-1,1212,791,1032,2663,1
70000,1,2,2,29,-2,-2,-8187,-17810,0,100104,0
120000,2,2,1,28,0,0,96833,78920,3000,5000,0
80000,1,2,1,33,0,0,22064,22338,1700,1700,0
150000,1,2,2,32,1,2,127399,124835,0,5000,1
20000,1,3,2,24,1,3,14665,14146,0,0,1
120000,2,2,2,24,2,0,67714,51385,2102,1021,1
180000,2,2,2,26,-1,-1,390,390,390,5248,0
170000,1,2,1,59,2,2,44619,45386,1800,2000,1
230000,1,2,1,41,0,0,301038,305327,9405,7769,1
320000,2,3,2,53,0,0,188373,281060,276698,11020,0
30000,2,2,1,54,-1,-1,3334,3366,3366,890,0
30000,2,3,1,46,0,0,29003,28544,1500,2000,0
120000,1,1,2,29,0,0,118303,98232,3358,3400,1
60000,1,1,2,28,1,-1,0,3132,3132,1053,1
30000,1,3,2,31,1,3,31405,30588,0,0,1
250000,1,2,1,45,0,0,142001,135291,5084,6399,0
220000,2,2,2,32,0,0,150393,48060,2349,3008,0
140000,2,1,1,34,1,-2,0,401,401,3930,0
200000,2,1,2,32,-1,-1,3450,12113,12174,16239,0
50000,1,1,2,26,0,0,43226,19278,1300,1300,0
360000,1,1,1,34,-1,-1,33654,52686,52951,64535,0
350000,1,1,1,50,0,0,93676,91832,3240,5006,0
90000,2,1,2,29,2,2,7052,9370,2605,0,1
170000,1,1,1,51,-1,-1,316,316,316,316,0
80000,2,2,2,27,0,0,83120,51347,1764,1906,0
280000,2,2,1,45,1,-2,0,0,0,3288,0
150000,1,2,1,36,2,2,47529,40605,17,3105,1
430000,1,2,2,29,-2,-2,1442,3058,3058,0,0
60000,2,2,1,24,0,0,58024,57891,2500,1600,1
50000,2,1,2,24,1,2,36166,37188,1900,1400,1
110000,2,2,1,42,0,0,55349,52914,2096,2003,0
30000,2,2,1,56,2,2,26008,27091,1800,1300,1
80000,2,2,2,25,-2,-2,0,0,0,0,0
500000,1,1,2,37,0,0,50140,45984,1862,1593,0
420000,2,2,1,38,0,-1,56107,53309,53400,0,0
90000,1,2,2,38,0,0,17621,18718,1700,1700,0
280000,1,1,2,32,-2,-2,3981,1350,1355,3754,0
270000,2,1,2,26,0,0,134235,62483,6000,2500,0
10000,1,2,2,27,0,0,7015,10227,3507,0,1
310000,2,1,1,37,-2,-2,123,123,123,0,0
100000,1,2,2,25,0,0,83749,85463,4000,4000,0
50000,1,3,2,28,0,0,48963,50381,2500,1293,0
300000,1,1,2,29,1,-2,0,0,0,0,1
480000,1,1,1,63,0,0,422069,431342,16078,55693,0
50000,1,2,2,27,-2,-2,3043,2432,2446,3754,0
250000,2,1,1,37,0,0,13504,13486,1267,1310,0
500000,1,1,1,45,-2,-2,186610,130751,261524,43919,0
150000,1,1,1,55,1,-1,0,780,780,4639,0
380000,2,2,1,44,-1,-1,1040,0,0,0,0
380000,2,3,2,39,0,0,55241,49773,10000,60218,0
70000,2,3,1,37,0,0,48684,49628,1785,7320,0
230000,1,1,2,32,-2,-2,2785,3943,1223,1000,0
50000,1,3,3,45,-1,0,24077,22385,1000,3008,0
130000,2,2,3,25,-1,2,3148,1574,5,0,1
50000,1,2,2,28,0,0,35277,34627,1800,1600,1
370000,2,3,1,37,-2,-2,0,0,0,0,1
220000,2,1,2,27,-1,-1,375,750,750,0,0
130000,2,3,2,28,1,-1,0,14051,14051,0,0
80000,2,1,2,23,0,0,69584,66342,2519,1838,0
260000,2,2,1,40,-1,-1,148,359,360,398,0
90000,2,2,2,28,2,0,48177,49563,2500,2500,1
70000,1,2,2,24,3,2,63000,64397,3000,2500,1
110000,1,1,2,33,0,0,9495,12633,4018,80004,0
20000,2,1,2,36,-2,-2,223,0,0,0,0
90000,2,3,1,35,2,2,35077,37557,3407,56,0
190000,2,2,2,28,0,0,188370,188550,8700,8500,0
180000,1,1,2,26,0,0,24464,25332,1573,3007,0
30000,2,3,1,53,0,0,30587,29462,1700,1288,0
210000,2,1,2,32,-2,-2,19959,1592,1603,0,0
150000,2,3,2,47,0,0,153720,150540,7000,7000,0
240000,2,1,2,28,0,0,209848,214477,10000,9000,0
360000,1,1,2,35,-2,-2,1533,-12,24,2505,1
50000,1,2,1,38,0,0,50748,48626,1500,1200,0
420000,1,2,2,31,2,2,239293,90568,0,3500,1
120000,2,1,2,27,1,-2,0,0,0,0,1
130000,1,3,2,56,0,0,33928,35356,2000,2000,0
80000,2,1,2,25,3,2,45031,47087,3100,2800,1
60000,2,2,2,25,0,0,7885,9244,1500,2000,1
160000,2,2,2,32,2,2,400,400,0,0,0
60000,2,3,1,63,0,0,59471,59021,2400,1940,0
230000,1,2,2,28,-1,-1,651,651,651,651,0
180000,1,1,2,31,-2,-2,3580,0,0,0,0
100000,2,2,1,35,-1,-1,29048,0,0,4069,0
70000,2,3,1,52,-1,-1,1000,1098,1098,30005,0
180000,2,2,2,44,0,0,23611,24651,1436,1416,0
220000,2,1,2,31,-1,-1,232,0,0,0,0
300000,2,2,2,28,0,0,327724,325970,11250,11877,0
60000,1,1,2,24,0,0,20873,22228,2000,1246,0
290000,2,1,2,29,0,0,10370,5681,1400,1507,0
480000,1,1,1,47,-1,-1,10668,-2,0,456,0
80000,2,2,1,42,2,2,45691,46662,2000,2000,1
70000,1,1,2,40,2,2,45740,44727,0,1750,1
500000,1,1,1,46,-1,-1,3580,18785,18785,10742,0
30000,2,1,2,25,0,0,19801,20449,3000,0,0
200000,2,1,1,38,-1,-1,4891,28258,28258,14712,0
50000,1,2,2,46,-1,-1,1540,26060,26060,0,0
200000,2,2,2,46,0,0,121198,123834,4593,14955,0
80000,2,2,1,42,-2,-2,10593,41217,41217,8815,0
50000,2,2,1,42,3,3,24225,24046,500,1200,1
320000,1,1,2,33,-2,-2,3903,3609,3609,4615,0
100000,2,2,1,42,-2,-2,2811,1055,1055,8090,0
210000,2,2,1,43,0,0,190693,169931,7000,7000,0
180000,2,1,2,47,1,-2,-6,-6,0,1257,0
30000,2,3,2,58,0,0,24874,25961,1500,2000,0
320000,1,2,2,36,0,0,289508,302561,21041,1514,0
100000,2,2,1,30,2,2,29778,30678,1600,1200,1
90000,2,3,2,24,-1,-1,595,207,207,18281,1
110000,2,2,2,33,0,0,107028,106818,4000,3783,0
230000,2,2,1,34,-2,-2,2329,1894,1894,2532,0
270000,2,2,2,29,-1,-1,88996,17142,17142,18118,0
60000,1,3,2,36,3,2,56807,55339,0,2141,0
30000,2,3,1,28,0,0,16162,13301,2000,1307,1
50000,1,2,1,41,-1,-1,390,390,390,780,1
80000,2,3,2,53,-2,-2,5687,0,0,0,0
260000,2,4,2,42,-1,-1,399,2101,2101,577,0
150000,2,2,2,33,-2,-2,6806,2774,2779,0,0
20000,1,3,1,40,0,0,13370,16326,3200,2200,1
130000,1,1,1,45,0,0,58180,59134,2886,2908,0
20000,2,2,2,23,3,2,12508,12015,0,2955,1
170000,2,1,2,29,-2,-2,0,0,0,0,0
200000,1,3,1,60,0,0,135775,136946,4916,8011,0
50000,1,3,2,47,0,0,48593,48653,1278,1469,0
360000,2,3,2,41,-2,-2,3578,3658,3658,3578,0
210000,1,3,1,49,0,0,27984,27686,1500,2000,0
100000,1,1,2,28,0,0,97032,99895,5341,7009,0
400000,2,1,2,48,-1,-1,24478,10841,10846,53383,0
50000,1,3,2,41,0,0,43383,43397,1992,2251,0
150000,2,2,2,31,1,2,22723,22060,0,3500,0
110000,1,2,2,55,0,0,51716,113395,65668,4267,1
180000,2,1,2,26,-2,-2,100,100,100,100,0
100000,2,3,2,56,0,0,70048,67942,2200,1505,0
30000,2,2,1,51,1,2,16490,18908,3000,0,1
220000,1,1,1,49,-1,-1,1410,580,580,1386,0
50000,2,2,1,39,1,2,16983,16413,0,5000,1
180000,1,2,2,38,2,2,21564,20939,0,2100,1
20000,2,2,1,39,0,0,20246,36350,3000,3000,0
20000,2,1,3,51,-1,-1,3680,0,0,543,0
30000,1,1,2,33,4,3,22303,21657,0,0,1
200000,1,1,2,26,-1,-1,299,-201,0,0,0
70000,2,2,2,42,1,2,70803,67344,10,2200,0
300000,1,1,2,25,0,0,76918,41773,4103,1427,0
80000,2,2,2,38,-1,-1,390,390,390,3529,0
310000,2,1,1,34,-1,-1,455,455,455,1415,1
60000,2,3,1,50,2,0,61349,61600,2900,3300,1
60000,2,2,1,24,3,2,33866,33041,0,2900,1
20000,2,3,1,35,0,0,17008,17922,1501,1000,0
20000,1,3,1,41,2,0,18738,18986,1376,1500,1
50000,2,2,1,32,0,0,49330,49547,2150,2100,0
240000,2,1,2,26,-1,0,28700,21944,1639,12450,0
120000,2,1,2,29,0,0,110488,107488,4000,5000,0
20000,2,2,2,24,1,-2,0,0,0,0,0
200000,1,2,2,30,-1,-1,416,416,416,416,0
50000,2,3,2,45,0,0,10723,9872,1000,658,0
360000,2,1,1,35,1,-1,0,2819,2819,0,0
170000,2,2,1,37,1,-2,0,0,0,0,0
120000,1,3,1,38,0,0,40538,41870,1988,18000,0
60000,2,2,1,37,0,0,60655,60281,2410,2203,0
360000,2,2,1,56,0,0,500090,477461,15900,16489,0
180000,2,2,2,35,1,-2,0,0,0,0,0
400000,1,2,2,29,0,0,237425,242225,8600,8000,1
360000,2,1,2,35,0,0,6392,3773,3000,18117,0
200000,2,2,2,26,0,0,116070,111996,5096,2700,0
50000,2,3,2,54,0,0,22136,23165,1388,1401,0
50000,2,2,1,44,0,0,13226,14470,1470,1000,0
400000,1,2,1,38,-1,-1,3380,3395,3411,8863,0
80000,2,2,1,45,0,0,81841,74516,4100,2507,0
20000,1,2,2,26,0,0,4491,5906,1500,1500,0
160000,1,2,2,30,1,-2,0,0,0,0,0
70000,2,3,1,48,2,2,62775,64139,3000,3000,1
400000,1,2,2,35,0,0,11052,0,0,0,0
240000,1,2,1,34,0,0,194548,198522,7200,11000,0
280000,2,1,2,29,0,0,15801,9982,1200,1200,0
200000,2,1,2,29,0,0,65935,25574,1011,31209,1
50000,1,1,1,37,0,0,29294,30400,2000,500,0
160000,2,1,1,29,0,0,50989,25227,1695,28800,0
50000,2,1,2,22,0,0,49459,49281,2300,2000,0
70000,2,2,1,41,0,0,68953,68908,3000,3810,0
390000,2,2,2,45,0,0,60082,58694,5000,5000,0
260000,1,1,1,34,-2,-2,-40,-40,0,0,0
320000,2,1,2,25,0,0,179893,183466,6558,7254,0
50000,2,2,2,24,0,0,30344,47000,20002,1000,0
230000,2,2,1,43,0,0,41435,42106,1674,3000,0
200000,2,1,1,32,-1,0,10760,11945,2000,5000,0
440000,2,2,1,44,0,0,70548,42651,20000,0,0
30000,1,2,1,25,-1,-1,30527,29910,1389,0,0
210000,2,1,1,35,-1,-1,3805,0,0,0,0
20000,1,3,2,40,1,3,9080,8790,0,0,0
300000,2,2,1,40,1,-2,0,0,0,0,0
200000,1,1,1,34,-2,-2,1242,4006,4034,945,0
140000,1,1,1,41,0,0,19853,22525,3000,3000,0
50000,2,2,2,29,1,2,46376,45354,0,4500,1
620000,2,2,1,45,2,2,160837,156839,0,6200,1
280000,2,1,1,39,-2,-2,1397,0,0,136,0
200000,2,2,1,39,0,0,80833,79100,3315,3088,0
30000,2,1,2,27,-2,-2,1784,6801,6855,2118,0
50000,1,2,1,53,-1,-1,493,493,493,493,0
10000,1,3,2,42,1,2,8090,6339,0,2586,1
430000,2,2,1,47,-1,-1,1343,909,909,5319,0
310000,2,2,2,24,0,0,203519,182513,6373,5600,0
140000,2,2,1,31,1,-2,-53,-53,0,1170,0
110000,2,1,2,27,0,0,113461,112026,4251,4218,0
20000,2,2,2,26,1,2,19725,17368,1293,0,0
500000,2,1,2,26,-1,-1,1419,1293,1293,1111,0
260000,1,1,2,29,-1,-1,2335,1432,1432,718,0
200000,1,1,2,28,0,-1,7464,22182,22182,7,0
110000,2,2,2,26,-1,-1,1687,400,400,300,1
200000,1,2,1,44,-1,-1,780,390,390,780,0
220000,2,1,1,39,-1,-1,2342,1120,1122,5738,0
210000,2,1,1,43,1,-2,0,0,0,0,1
500000,1,2,1,42,-1,-1,17360,13170,13222,10758,0
320000,2,2,1,35,0,0,4050,4914,1073,1789,0
70000,1,2,2,31,0,0,101284,71451,2864,2501,0
10000,2,1,1,23,0,0,7641,8557,1262,1000,0
280000,2,2,2,25,1,2,6714,4526,22,4277,0
80000,1,3,2,24,1,-1,0,832,1248,416,0
390000,2,1,2,30,0,0,7650,8500,3031,2010,0
360000,2,1,2,32,0,0,290543,118479,7288,6079,0
100000,2,3,1,58,0,0,96821,98389,3589,3656,0
230000,2,1,2,29,0,0,33988,32803,2500,3007,0
50000,1,2,1,49,0,0,46693,14453,1158,1010,0
290000,2,1,2,32,-2,-2,0,5743,5743,5000,0
300000,1,2,1,46,-1,-1,1413,15393,15480,0,0
60000,2,1,1,38,-1,-1,6842,15772,15772,23011,0
140000,2,3,2,26,0,0,93384,93443,3514,3000,0
160000,1,1,2,34,-2,-2,0,150,150,1397,0
120000,2,2,1,31,1,2,21134,20502,0,5000,1
80000,1,3,2,28,1,2,38151,39227,2000,0,1
240000,2,1,2,37,-2,-2,660,31187,31187,1280,0
