num_crit,dur.,dir_fb_lk,act3_fblik,act1_fblik,gross,movie_title,nmvot_user,cast_fblik,face_poster,num_usrrev,budget,year,act2_fblik,target_variable,asp_rat,mov_fblik
163,112,52,688,10000,2445646,Kill the Messenger ,32382,12897,1,99,5000000,2014,963,2,2.35,13000
145,139,55,266,382,102300000,Mary Poppins ,107408,2045,2,259,6000000,1964,279,2,1.66,0
10,0,0,502,1000,0,War & Peace             ,9277,4528,1,44,0,0,888,2,16,11000
164,145,0,392,973,0,Once Upon a Time in the West ,216005,2589,1,565,5000000,1968,423,2,2.35,10000
39,87,2,99,592,0,Don McKay ,2050,1227,1,17,0,2009,521,1,1.85,275
271,94,293,939,18000,32416109,The Men Who Stare at Goats ,109620,32474,0,268,25000000,2009,12000,1,2.35,15000
162,63,15,69,759,26687172,Winnie the Pooh ,15600,1002,0,55,30000000,2011,73,2,1.85,0
14,60,0,575,1000,0,The Missing             ,8739,3537,0,28,0,0,773,2,0,0
72,96,30,407,761,7292175,Outside Providence ,7736,2018,3,100,7000000,1999,412,1,1.85,0
256,101,0,574,40000,26505000,A Nightmare on Elm Street ,149285,42918,1,668,1800000,1984,852,2,1.85,10000
248,107,99,452,17000,16025394,Adventureland ,131180,18983,6,220,0,2009,985,1,1.85,0
62,104,23,591,752,6712451,Town & Country ,4102,3133,0,89,90000000,2001,631,0,1.85,53
173,106,285,105,8000,100468793,Step Brothers ,212499,11264,2,277,65000000,2008,3000,1,2.35,0
29,97,420,585,695,41067398,Money Talks ,22748,2530,2,41,25000000,1997,635,1,2.35,666
295,122,446,600,23000,53574088,3:10 to Yuma ,237872,33548,1,560,55000000,2007,8000,2,2.35,0
274,96,0,1000,20000,10139254,The Fountain ,190990,24640,0,915,35000000,2006,1000,2,1.85,23000
23,95,2,807,927,4006906,King's Ransom ,3229,4990,7,20,15000000,2005,912,0,1.85,83
369,100,128,78,596,56114221,Fantastic Four ,110486,1261,3,695,120000000,2015,360,0,2.35,41000
135,105,125,2000,18000,13101142,Playing for Keeps ,23916,23122,5,50,35000000,2012,2000,1,2.35,0
64,127,73,433,11000,23209440,One True Thing ,9283,12785,3,112,30000000,1998,882,2,1.85,592
256,95,9,428,584,131175,Maggie ,30219,1885,2,200,8500000,2015,430,1,2.35,22000
44,82,6,345,759,36696761,Recess: School's Out ,6808,2197,0,38,23000000,2001,563,1,1.85,227
415,97,0,372,18000,5009677,Moon ,260607,19404,0,485,5000000,2009,572,2,2.35,47000
20,139,133,5,423,2474000,Jefferson in Paris ,2427,446,1,27,14000000,1995,15,1,1.85,127
45,68,0,253,304,18081626,Pooh's Heffalump Movie ,4180,861,0,32,20000000,2005,286,1,1.85,264
61,124,212,810,1000,11000000,Cutthroat Island ,21102,3611,3,169,98000000,1995,903,1,2.35,1000
82,87,0,591,2000,6291602,What Planet Are You From? ,8070,3954,0,91,50000000,2000,602,1,1.85,255
185,93,4,4,533,26583369,The Forest ,20837,578,1,127,10000000,2016,35,0,1.85,10000
231,135,162,228,23000,4001121,I'm Not There. ,48346,36398,0,230,20000000,2007,13000,2,2.35,0
149,91,357,326,3000,35385560,The Boy Next Door ,27198,4807,1,131,4000000,2015,465,0,2.35,8000
74,82,7,664,1000,13350177,The Haunting of Molly Hartley ,7904,4856,5,113,5000000,2008,984,0,1.85,562
75,118,176,308,18000,66488090,The Bone Collector ,120202,29748,2,397,48000000,1999,11000,1,2.35,0
75,106,36,345,953,12589108,Under the Same Moon ,5526,2198,1,58,0,2007,399,2,1.85,0
253,146,0,413,888,0,The Shining ,610333,2560,0,1320,19000000,1980,629,2,1.37,37000
74,92,83,48,469,0,Niagara ,11047,683,0,116,1250000,1953,79,2,1.37,1000
274,113,22000,379,716,25530884,Memento ,845580,1997,0,2067,9000000,2000,651,2,2.35,40000
153,102,22,816,1000,38087366,Harold & Kumar Escape from Guantanamo Bay ,113918,4065,2,165,12000000,2008,954,1,1.85,0
357,134,0,11000,15000,83025853,Brokeback Mountain ,259837,39789,0,2254,14000000,2005,13000,2,1.85,13000
16,107,8,39,106,700000,Les visiteurs ,24438,215,1,78,50000000,1993,54,2,2.35,0
171,90,100,9,830,1573712,Your Sister's Sister ,21618,973,2,62,125000,2011,128,1,0,3000
400,144,258,834,6000,167007184,Casino Royale ,470483,9125,1,2301,150000000,2006,1000,2,2.35,0
217,118,76,174,3000,10880926,Dead Man Down ,54147,4253,2,127,30000000,2013,678,1,2.35,0
18,97,49,687,878,0,Stargate: The Ark of Truth ,15862,4334,5,42,0,2008,847,2,1.78,389
451,108,13000,11000,40000,334185206,Alice in Wonderland ,306336,79957,0,736,200000000,2010,25000,1,1.85,24000
84,98,21,76,33000,406035,The Believer ,30314,33441,0,159,1500000,2001,243,2,1.66,0
69,123,204,9,436,0,Intolerance: Love's Struggle Throughout the Ages ,10718,481,1,88,385907,1916,22,2,1.33,691
112,105,2,69,805,63260,Renaissance ,14325,1185,0,90,14000000,2006,306,1,2.35,0
142,102,148,135,8000,93607673,America's Sweethearts ,47573,9176,4,343,48000000,2001,973,1,2.35,881
117,133,46,275,683,34667015,Licence to Kill ,74009,2371,0,317,32000000,1989,349,1,2.35,0
91,126,393,281,862,0,Red River ,21316,2269,0,162,3000000,1948,376,2,1.37,0
99,89,0,107,217,52287414,Stand by Me ,271794,644,2,584,8000000,1986,107,2,1.85,24000
459,85,198,387,2000,80034302,Cloverfield ,296787,3958,0,2192,25000000,2008,1000,2,1.85,0
160,184,34,155,486,476270,The Baader Meinhof Complex ,29602,1601,2,110,20000000,2008,471,2,1.85,0
233,112,21000,237,17000,95308367,Panic Room ,206104,18141,0,850,48000000,2002,324,1,2.35,0
198,124,845,295,650,46975183,Shooter ,256213,1640,0,338,61000000,2007,467,2,2.35,0
152,90,0,826,4000,4859475,The Virgin Suicides ,116910,7103,0,520,6000000,1999,899,2,1.85,0
106,106,208,855,3000,11146409,Deep Rising ,26551,6558,0,273,45000000,1998,1000,1,2.35,0
41,80,9,826,17000,3101301,Supercross ,3926,21519,1,38,0,2005,2000,0,1.85,353
28,135,22,45,837,1877179,The Horseman on the Roof ,4885,1508,1,25,0,1995,541,2,2.35,262
181,107,162,135,2000,15854988,Far from Heaven ,36542,2447,2,378,13500000,2002,258,2,1.85,0
205,118,252,30,529,19673424,Nine ,37446,619,4,232,80000000,2009,48,1,2.35,0
283,133,219,701,15000,727883,Donnie Darko ,580999,17040,1,2110,4500000,2001,933,2,2.35,33000
334,104,420,560,20000,234360014,X-Men: The Last Stand ,383427,21714,0,1912,210000000,2006,808,1,2.35,0
158,96,31,328,804,3590010,We Are Your Friends ,20885,3013,0,60,2000000,2015,625,1,1.85,0
38,11,0,0,11,0,Robot Chicken             ,32923,11,0,75,0,0,0,2,1.33,1000
358,106,44,133,596,18298649,Fright Night ,85024,1393,1,242,30000000,2011,343,1,1.85,23000
37,97,18000,977,10000,326308,Albino Alligator ,6632,13718,3,69,5000000,1996,1000,1,2.35,225
20,45,0,260,460,0,Scream: The TV Series             ,18058,2380,0,68,0,0,292,2,16,0
287,110,0,1000,3000,58885635,Dawn of the Dead ,194422,10438,0,1057,26000000,2004,2000,2,2.35,7000
128,108,11000,922,11000,3203044,Anything Else ,25165,14843,2,155,18000000,2003,944,1,2.35,827
145,106,14,0,2,17473245,Red Planet ,47612,2,1,348,70000000,2000,0,1,2.35,995
97,109,24,167,287,28995450,Nanny McPhee Returns ,19230,855,5,59,35000000,2010,175,1,2.35,0
142,121,38,745,940,83892374,The X Files ,85720,4230,0,297,66000000,1998,826,2,2.35,0
265,102,82,537,622,34350553,The Watch ,104066,2488,4,207,68000000,2012,591,1,2.35,15000
220,119,0,593,908,33386128,Halloween II ,36372,3226,0,491,15000000,2009,764,0,1.85,3000
309,101,25,423,17000,18656400,Still Alice ,86077,19673,1,195,5000000,2014,2000,2,1.85,45000
16,90,0,36,57,0,Bang Bang Baby ,137,231,2,16,1000000,2014,40,1,0,48
19,84,0,182,11000,27979400,Loaded Weapon 1 ,37611,12322,2,72,8200000,1993,852,1,1.85,0
359,106,174,660,14000,91439400,Non-Stop ,200647,16967,0,384,50000000,2014,664,2,2.35,24000
235,91,49,20,72,36200000,Friday the 13th Part III ,31952,174,0,372,4000000,1982,31,1,2.35,0
27,102,909,119,909,0,Slacker Uprising ,2242,1674,0,15,2000000,2007,562,1,0,69
182,114,0,446,975,3519627,The Brothers Bloom ,41737,3014,4,105,20000000,2008,877,1,2.35,0
474,126,230,2000,24000,89732035,Terminator Genisys ,188457,38873,2,867,155000000,2015,10000,1,2.35,82000
253,113,395,77,8000,40137776,Stranger Than Fiction ,186977,8362,1,529,38000000,2006,189,2,1.85,13000
115,116,13,140,203,1050445,Joyeux Noel ,21394,773,0,147,22000000,2005,172,2,2.35,11000
63,96,19,71,1000,115862,The Greatest ,7394,2163,2,50,6000000,2009,943,1,2.35,0
81,110,107,45,576,136007,Clean ,3924,776,1,39,4500,2004,133,1,2.35,171
12,105,0,0,0,247740,Sex with Strangers ,285,0,0,8,0,2002,0,0,1.33,51
19,87,65,686,866,0,Dead Like Me: Life After Death ,10734,3724,1,80,5000000,2009,738,1,1.78,887
149,122,287,135,22000,41609593,Ronin ,145422,24270,2,572,55000000,1998,2000,2,2.35,0
81,98,11,107,966,50189179,The Tuxedo ,61966,2018,2,207,60000000,2002,680,1,1.85,797
103,103,835,0,13000,236266,Gerry ,15104,13000,0,290,3500000,2002,0,1,2.35,0
222,114,89,177,836,60923325,Get Him to the Greek ,147317,2091,2,197,0,2010,719,1,1.85,12000
308,92,72,568,623,19059018,"I, Frankenstein ",65709,3165,0,194,65000000,2014,593,1,2.35,15000
169,105,54,988,3000,51853450,The Odd Life of Timothy Green ,37398,9069,0,110,25000000,2012,2000,1,1.85,11000
117,131,53,548,14000,3752725,The Merchant of Venice ,29715,16252,3,161,18000000,2004,871,2,2.35,0
39,98,226,496,953,68856263,Cool Runnings ,69733,2496,1,97,15000000,1993,730,1,1.85,0
188,120,153,447,1000,24004159,Around the World in 80 Days ,68722,3175,0,191,110000000,2004,1000,1,2.35,0
63,83,12,690,2000,11631245,Zoom ,15015,5022,5,113,35000000,2006,826,0,1.85,494
51,85,0,209,945,265107,Psycho Beach Party ,4617,2282,1,93,1500000,2000,774,1,1.85,614
198,97,176,10000,12000,45089048,The Giver ,86251,36064,3,260,25000000,2014,11000,1,2.35,58000
78,94,383,753,4000,58297830,Anastasia ,86347,6017,1,191,50000000,1997,808,2,2.35,0
118,141,300,73,805,16123851,Vanity Fair ,17373,1618,2,148,23000000,2004,539,1,2.35,767
453,124,4000,4000,21000,312057433,Iron Man 2 ,522371,48638,4,723,200000000,2010,19000,2,2.35,18000
279,120,508,1000,21000,58700247,Water for Elephants ,95367,36062,1,260,38000000,2011,11000,1,2.35,33000
91,88,31,489,1000,65535067,Deuce Bigalow: Male Gigolo ,59380,2604,1,202,17000000,1999,489,1,1.85,0
21,87,3,83,922,0,Jekyll and Hyde... Together Again ,881,1324,0,32,5000000,1982,162,1,0,323
86,109,41,748,997,61356221,Stomp the Yard ,19505,3544,0,162,14000000,2007,826,1,2.35,0
29,103,249,261,2000,8691,Falcon Rising ,4952,3089,1,32,4500000,2014,298,1,0,0
304,96,0,58,634,0,The Evil Dead ,141219,813,0,740,375000,1981,66,2,1.37,12000
129,106,0,481,1000,86300000,Young Frankenstein ,112671,2703,0,315,2800000,1974,595,2,1.85,14000
38,44,0,816,1000,0,Psych             ,67315,4092,2,127,0,0,922,2,1.78,0
216,94,85,443,14000,50648679,Resident Evil: Extinction ,149549,16225,1,348,45000000,2007,706,1,2.35,0
46,114,6,633,970,3420871,The Ultimate Gift ,14100,3824,2,81,0,2006,906,2,1.85,0
132,103,61,520,963,0,Grace of Monaco ,12410,2806,3,62,30000000,2014,903,1,2.35,6000
29,95,4,152,641,7888703,Teen Wolf Too ,8465,1389,1,65,3000000,1987,168,0,1.85,491
19,103,6,664,4000,0,Veronika Decides to Die ,10100,6426,1,42,9000000,2009,931,1,2.35,3000
249,132,47,240,988,81687587,The Scorch Trials ,138246,2517,0,360,61000000,2015,960,1,2.35,24000
166,106,6,422,12000,32131830,Final Fantasy: The Spirits Within ,72259,15015,1,788,137000000,2001,2000,1,1.85,0
32,144,54,332,469,20400000,Duel in the Sun ,6304,2037,0,87,8000000,1946,436,1,1.37,403
73,124,41,197,512,8427204,Play It to the Bone ,10100,1523,0,59,24000000,1999,481,1,2.35,153
1,167,10,97,353,610991,Fiza ,2715,773,3,19,1000000,2000,186,1,2.35,92
84,97,15,874,18000,1029017,A Home at the End of the World ,12049,21107,2,135,6500000,2004,986,1,2.35,1000
37,127,16,399,565,35422828,Selena ,19126,1735,1,155,20000000,1997,441,1,2.35,0
73,99,13000,232,282,0,The Trouble with Harry ,24891,1041,0,150,1200000,1955,255,2,1.5,0
131,94,383,886,13000,22751979,Titan A.E. ,52244,15857,0,377,75000000,2000,1000,1,2.35,0
235,90,38,882,2000,72266306,Vantage Point ,127528,6775,4,422,40000000,2008,897,1,2.35,0
265,108,192,580,1000,41777564,The Hills Have Eyes ,129719,4500,0,855,15000000,2006,1000,1,2.35,0
38,108,14,274,1000,594904,Blue Like Jazz ,2582,1805,0,89,1200000,2012,330,1,1.85,0
112,110,99,835,12000,90636983,The Game Plan ,44021,15170,0,83,22000000,2007,941,1,2.35,0
95,106,12,595,962,17951431,The Glass House ,25462,4239,1,200,30000000,2001,844,1,2.35,804
23,90,2000,454,2000,0,Never Back Down 2: The Beatdown ,13599,3666,3,30,3000000,2011,606,1,1.85,6000
99,120,11,0,16,76400000,Fantasia ,71321,16,0,230,2280000,1940,0,2,1.37,3000
38,82,12,8,23,25571351,Jonah: A VeggieTales Movie ,3135,49,0,78,14000000,2002,12,1,1.85,184
33,91,0,298,636,21370057,Raising Cain ,9903,1852,0,80,12000000,1992,330,1,1.85,541
147,117,0,567,883,7458269,A Good Year ,70698,3611,1,196,35000000,2006,883,1,2.35,9000
78,87,0,302,696,0,Banshee Chapter ,6265,1618,1,56,950000,2013,371,1,0,2000
29,132,79,1000,14000,8600000,The Bounty ,17982,28094,2,95,25000000,1984,12000,2,2.35,1000
228,86,17,205,520,17683670,Apollo 18 ,47227,1520,0,323,5000000,2011,270,1,1.33,0
141,130,317,256,18000,19593740,The Life of David Gale ,88270,32637,0,420,50000000,2003,14000,2,2.35,0
288,122,909,282,503,119078393,Fahrenheit 9/11 ,113152,1448,0,1416,6000000,2004,328,2,1.85,0
72,105,631,327,678,103738726,Dick Tracy ,47819,2096,1,164,100000000,1990,631,1,1.85,2000
81,94,26,4000,16000,6241697,Dick ,16059,31005,2,210,13000000,1999,8000,1,1.85,0
1,112,0,11,86,0,Living Dark: The Story of Ted the Caver ,28,139,0,1,1750000,2013,42,1,1.85,73
62,124,0,535,2000,54800000,Ordinary People ,35130,5122,3,283,6000000,1980,553,2,1.85,0
95,112,37,480,3000,26494611,Blast from the Past ,48621,5709,0,239,35000000,1999,874,1,2.35,0
52,114,46,292,818,6543194,I Dreamed of Africa ,3740,1778,1,61,34000000,2000,649,1,2.35,314
341,130,22000,19000,23000,53082743,The Prestige ,844052,63986,1,1100,40000000,2006,20000,2,2.35,49000
388,131,0,383,10000,15700000,The Hurt Locker ,332065,11114,0,876,15000000,2008,602,2,1.85,16000
46,101,6,258,812,14108518,How to Deal ,8215,1882,1,95,16000000,2003,326,1,1.85,371
125,107,234,660,1000,6998324,Our Brand Is Crisis ,11476,3944,2,50,28000000,2015,962,1,1.85,0
56,89,149,580,912,6719300,Smoke Signals ,8224,3163,3,132,2000000,1998,752,2,1.85,0
12,94,0,136,722,69582,Stiff Upper Lips ,867,1477,2,21,0,1998,338,1,1.85,109
156,139,274,285,625,147637474,As Good as It Gets ,224671,1474,0,470,50000000,1997,440,2,1.85,11000
81,138,0,574,10000,141340178,A Few Good Men ,181879,14619,0,319,40000000,1992,2000,2,2.35,0
298,163,14000,412,745,47379090,Munich ,176936,2529,0,824,70000000,2005,486,2,2.35,0
44,120,108,400,634,1055654,Peaceful Warrior ,20426,2673,1,175,10000000,2006,436,2,2.35,0
67,84,64,748,2000,11860839,Glee: The 3D Concert Movie ,5156,4617,0,21,9000000,2011,892,1,1.85,0
54,88,11,415,1000,828,Perrier's Bounty ,5133,2728,8,31,0,2009,418,1,2.35,663
23,52,0,114,164,0,The Returned             ,15762,654,9,47,0,0,116,2,16,17000
253,105,154,501,884,80050171,Disturbia ,186984,2287,0,491,20000000,2007,617,1,1.85,0
83,104,18,741,1000,10106233,Prom ,12702,5190,0,32,8000000,2011,962,1,1.85,0
287,115,549,911,3000,54557348,Crash ,361169,5732,0,1624,6500000,2004,912,2,2.35,18000
151,124,44,367,4000,36447959,Million Dollar Arm ,35833,6393,0,96,25000000,2014,774,2,2.39,10000
96,91,6,10,488,0,The Toxic Avenger ,19253,553,0,147,475000,1984,11,1,1.85,0
64,99,71,584,2000,16930185,Serving Sara ,14315,4169,2,101,29000000,2002,719,1,1.85,201
10,82,7,27,584,7557877,The Jerky Boys ,2129,1002,0,37,0,1995,246,0,1.85,138
283,115,663,55,1000,261437578,The Incredibles ,479166,1901,0,815,92000000,2004,723,2,2.35,0
81,95,4000,334,4000,5308707,Made ,15053,5245,2,165,5000000,2001,585,1,1.85,393
112,93,11,271,443,48430,The Perfect Host ,20176,1452,1,73,500000,2010,298,1,1.85,0
113,104,63,7,67,19406406,Oceans ,7630,152,0,42,40000000,2009,63,2,2.35,0
335,129,0,385,12000,49874933,Pain & Gain ,161168,13573,4,287,26000000,2013,412,1,2.35,43000
50,121,55,918,1000,2221994,Smilla's Sense of Snow ,11747,3125,1,99,35000000,1997,1000,1,2.35,561
14,105,7,548,2000,609042,The Basket ,449,3475,2,38,1300000,1999,783,1,1.85,117
154,107,503,108,264,0,The Omen ,80958,673,2,310,2800000,1976,139,2,2.35,7000
101,118,160,426,862,0,From Here to Eternity ,33987,2247,5,150,1650000,1953,488,2,1.37,0
18,90,4,218,919,13493,Broken Vessels ,531,2288,0,19,600000,1998,711,1,1.85,51
140,106,448,648,9000,54734,Regression ,20821,10982,1,62,0,2015,750,1,2.35,0
147,93,37,545,885,40846082,House on Haunted Hill ,45317,2872,0,536,19000000,1999,828,1,1.37,0
117,147,179,646,40000,41954997,Donnie Brasco ,225122,56014,2,234,35000000,1997,14000,2,2.35,0
196,116,51,465,18000,54414716,Horrible Bosses 2 ,114294,30571,7,187,42000000,2014,11000,1,2.35,12000
124,88,108,135,876,2975649,Miss Potter ,23864,1518,1,142,30000000,2006,142,2,2.35,0
230,111,0,727,796,13034417,Whip It ,55665,2633,1,118,15000000,2009,787,1,2.35,10000
180,101,21,317,22000,51097664,Hide and Seek ,70205,23328,0,450,30000000,2005,812,1,2.35,0
193,92,43,172,904,3094687,Celeste & Jesse Forever ,24391,1751,2,61,0,2012,517,1,2.35,0
5,86,12,117,238,33598,"I Love You, Don't Touch Me! ",405,623,1,15,0,1997,166,1,0,97
261,109,0,597,1000,16901126,The Devil's Rejects ,76267,3544,0,687,7000000,2005,649,1,1.85,0
14,90,7,424,890,92362,The Salon ,444,3138,7,5,1500000,2005,597,0,1.85,68
20,102,0,46,473,13220,Supercapitalist ,289,892,0,9,0,2012,303,0,0,115
238,95,243,725,969,100659,The House of the Devil ,30160,3833,0,193,900000,2009,962,1,1.85,0
166,98,99,433,12000,67128202,Race to Witch Mountain ,43328,14007,3,110,65000000,2009,536,1,2.35,0
147,95,425,560,973,22526144,My Super Ex-Girlfriend ,53884,2737,1,203,30000000,2006,776,1,2.35,1000
2,87,0,347,584,0,The Californians ,299,1924,3,11,0,2005,507,0,1.85,29
323,119,0,10000,29000,22877808,Revolutionary Road ,152591,53895,0,414,35000000,2008,14000,2,2.35,0
21,117,71,42,433,0,Sheena ,3334,611,1,52,25000000,1984,54,0,2.35,739
11,90,15,120,900,0,Against the Wild ,840,1724,3,9,2000000,2013,450,0,0,326
119,93,19,619,15000,3749061,The Cold Light of Day ,28629,30134,3,113,20000000,2012,13000,0,2.35,0
195,97,197,570,13000,122288,Centurion ,64777,15293,0,201,0,2010,794,1,2.35,0
135,94,607,215,933,34238611,The Hunted ,35830,2248,1,321,55000000,2003,518,1,1.85,0
63,95,21,842,1000,76657000,The Muppet Movie ,25498,5673,0,92,0,1979,985,2,1.85,0
93,118,49,155,11000,16252765,Original Sin ,44913,11662,1,181,42000000,2001,216,1,2.35,3000
242,122,0,54,326,33201661,Amélie ,534262,809,0,1314,77000000,2001,326,2,2.35,39000
168,97,11,887,14000,71500556,Bridget Jones's Diary ,171568,16999,3,571,26000000,2001,1000,1,2.35,0
77,86,90,635,962,9402410,Fun Size ,11233,3715,1,32,14000000,2012,925,1,2.35,0
116,90,34,506,966,4360548,Solitary Man ,13371,2661,7,60,15000000,2009,681,1,1.85,0
252,137,179,4000,17000,717753,On the Road ,33107,33747,4,128,25000000,2012,10000,1,2.35,27000
1,66,0,0,0,0,UnDivided ,6,0,2,1,250000,2013,0,2,0,53
22,143,688,42,638,5000000,Darling Lili ,1547,788,2,50,25000000,1970,50,1,2.35,104
335,123,0,6,23000,10137502,The Walk ,77394,23031,0,195,35000000,2015,22,2,2.35,24000
88,101,503,1000,13000,60328558,Scrooged ,61396,18734,1,159,32000000,1988,1000,2,1.85,11000
100,84,0,158,634,173066,My Name Is Bruce ,21379,1238,1,88,1500000,2007,328,1,1.85,0
159,97,70,625,2000,86049418,Mean Girls ,245989,5032,4,554,17000000,2004,1000,2,1.85,0
63,107,0,159,29000,18636537,The Quick and the Dead ,69197,29743,0,216,32000000,1995,165,1,1.85,0
161,106,34,466,3000,17281832,Inkheart ,60232,5329,3,110,60000000,2008,1000,1,2.35,0
241,114,29,616,956,32721635,The Last House on the Left ,67822,3861,0,279,15000000,2009,878,1,1.85,0
76,90,138,263,373,4542775,Miss March ,18313,1831,2,73,6000000,2009,308,1,1.85,985
47,99,8,78,798,104257,Human Traffic ,19194,1430,2,160,2200000,1999,472,2,1.85,0
64,135,133,258,898,1666262,The White Countess ,5321,2096,0,78,16000000,2005,708,1,1.66,356
355,116,473,464,833,83552429,Battle Los Angeles ,154955,4001,0,800,70000000,2011,697,1,2.35,25000
292,144,0,16,63,2222647,The White Ribbon ,52958,167,0,193,12000000,2009,43,2,1.85,0
216,118,473,963,18000,73343413,Law Abiding Citizen ,217480,22517,0,429,50000000,2009,1000,2,2.35,21000
27,122,0,292,12000,41252428,The Mirror Has Two Faces ,11453,13716,0,71,42000000,1996,592,1,1.85,0
168,105,31,110,390,30659817,Delivery Man ,59805,1006,10,95,26000000,2013,311,1,2.35,0
41,78,0,786,971,76501438,Rugrats in Paris: The Movie ,8146,4527,0,49,30000000,2000,844,1,1.85,181
108,90,29,650,22000,87856565,Along Came Polly ,106909,24534,1,268,42000000,2004,923,1,1.85,0
21,97,2,217,4000,0,Virgin Territory ,6691,4900,2,28,38000000,2007,476,0,1.85,366
233,95,96,8000,24000,148337537,Megamind ,172754,46120,3,187,130000000,2010,11000,2,2.35,13000
138,113,36,232,537,87704396,Entrapment ,88132,1302,1,274,66000000,1999,427,1,2.35,0
12,99,0,361,578,830210,Atlas Shrugged: Who Is John Galt? ,1900,3382,0,56,5000000,2014,435,0,0,0
95,125,44,420,593,60000000,Superman III ,49934,2329,1,224,39000000,1983,542,0,2.35,0
193,131,226,341,12000,173005002,National Treasure ,255447,13679,0,692,100000000,2004,625,1,2.35,0
82,96,70,163,883,4170647,East Is East ,14548,1616,0,161,1900000,1999,183,1,1.85,1000
167,101,10,472,1000,11956207,Sorority Row ,24012,3142,2,126,16000000,2009,668,1,2.35,0
91,148,72,99,582,39251128,Anna and the King ,31080,804,2,217,75000000,1999,103,1,2.35,0
117,86,10,348,12000,45860039,Walking Tall ,53118,14146,1,221,56000000,2004,795,1,2.35,0
125,100,41,970,45000,39989008,I Still Know What You Did Last Summer ,55398,49847,2,418,24000000,1998,1000,0,2.35,891
36,119,0,54,816,836641,Illuminata ,1402,1585,0,40,0,1998,623,1,1.85,74
100,102,346,488,947,23106,Dear Wendy ,9003,2572,0,58,50000000,2004,526,1,1.66,532
116,103,84,664,12000,37035515,28 Days ,34597,23864,1,194,43000000,2000,10000,1,1.37,0
262,129,195,50,827,20167424,The Secret in Their Eyes ,131831,1044,0,231,2000000,2009,88,2,2.35,33000
33,77,0,260,846,0,Containment ,1355,2044,0,21,0,2015,366,0,0,275
8,81,0,5,119,18195,The Sticky Fingers of Time ,336,154,0,7,250000,1997,24,1,1.85,67
181,120,0,102,105,25000000,Some Like It Hot ,175196,527,2,350,2883848,1959,103,2,1.66,10000
93,104,109,202,405,7739049,Being Julia ,10680,847,2,112,18000000,2004,204,2,1.85,562
32,99,387,399,8000,127144,The Wendell Baker Story ,5159,9608,4,27,8000000,2005,489,1,2.35,143
45,83,119,633,885,7001720,An American Carol ,8560,2907,2,205,12000000,2008,816,0,2.35,797
8,105,5,73,590,0,Speedway Junky ,1434,1042,2,43,1000000,1999,231,1,0,27
645,182,0,773,5000,303001229,The Hobbit: An Unexpected Journey ,637246,9152,0,1367,180000000,2012,972,2,2.35,166000
313,105,0,288,539,50549107,Jack Ryan: Shadow Recruit ,99035,1411,3,289,60000000,2014,394,1,2.35,17000
