num_crit,dur.,dirLike,actLike,gross,title,vote,castLike,facePoster,review,budget,year,target_variable
163,112,52,10000,2445646,Kill the Messenger ,32382,12897,1,99,5000000,2014,2
145,139,55,382,102300000,Mary Poppins ,107408,2045,2,259,6000000,1964,2
10,0,0,1000,0,War & Peace             ,9277,4528,1,44,0,0,2
164,145,0,973,0,Once Upon a Time in the West ,216005,2589,1,565,5000000,1968,2
39,87,2,592,0,Don McKay ,2050,1227,1,17,0,2009,1
271,94,293,18000,32416109,The Men Who Stare at Goats ,109620,32474,0,268,25000000,2009,1
162,63,15,759,26687172,Winnie the Pooh ,15600,1002,0,55,30000000,2011,2
14,60,0,1000,0,The Missing             ,8739,3537,0,28,0,0,2
72,96,30,761,7292175,Outside Providence ,7736,2018,3,100,7000000,1999,1
256,101,0,40000,26505000,A Nightmare on Elm Street ,149285,42918,1,668,1800000,1984,2
248,107,99,17000,16025394,Adventureland ,131180,18983,6,220,0,2009,1
62,104,23,752,6712451,Town & Country ,4102,3133,0,89,90000000,2001,0
173,106,285,8000,100468793,Step Brothers ,212499,11264,2,277,65000000,2008,1
29,97,420,695,41067398,Money Talks ,22748,2530,2,41,25000000,1997,1
295,122,446,23000,53574088,3:10 to Yuma ,237872,33548,1,560,55000000,2007,2
274,96,0,20000,10139254,The Fountain ,190990,24640,0,915,35000000,2006,2
23,95,2,927,4006906,King's Ransom ,3229,4990,7,20,15000000,2005,0
369,100,128,596,56114221,Fantastic Four ,110486,1261,3,695,120000000,2015,0
135,105,125,18000,13101142,Playing for Keeps ,23916,23122,5,50,35000000,2012,1
64,127,73,11000,23209440,One True Thing ,9283,12785,3,112,30000000,1998,2
256,95,9,584,131175,Maggie ,30219,1885,2,200,8500000,2015,1
44,82,6,759,36696761,Recess: School's Out ,6808,2197,0,38,23000000,2001,1
415,97,0,18000,5009677,Moon ,260607,19404,0,485,5000000,2009,2
20,139,133,423,2474000,Jefferson in Paris ,2427,446,1,27,14000000,1995,1
45,68,0,304,18081626,Pooh's Heffalump Movie ,4180,861,0,32,20000000,2005,1
61,124,212,1000,11000000,Cutthroat Island ,21102,3611,3,169,98000000,1995,1
82,87,0,2000,6291602,What Planet Are You From? ,8070,3954,0,91,50000000,2000,1
185,93,4,533,26583369,The Forest ,20837,578,1,127,10000000,2016,0
231,135,162,23000,4001121,I'm Not There. ,48346,36398,0,230,20000000,2007,2
149,91,357,3000,35385560,The Boy Next Door ,27198,4807,1,131,4000000,2015,0
74,82,7,1000,13350177,The Haunting of Molly Hartley ,7904,4856,5,113,5000000,2008,0
75,118,176,18000,66488090,The Bone Collector ,120202,29748,2,397,48000000,1999,1
75,106,36,953,12589108,Under the Same Moon ,5526,2198,1,58,0,2007,2
253,146,0,888,0,The Shining ,610333,2560,0,1320,19000000,1980,2
74,92,83,469,0,Niagara ,11047,683,0,116,1250000,1953,2
274,113,22000,716,25530884,Memento ,845580,1997,0,2067,9000000,2000,2
153,102,22,1000,38087366,Harold & Kumar Escape from Guantanamo Bay ,113918,4065,2,165,12000000,2008,1
357,134,0,15000,83025853,Brokeback Mountain ,259837,39789,0,2254,14000000,2005,2
16,107,8,106,700000,Les visiteurs ,24438,215,1,78,50000000,1993,2
171,90,100,830,1573712,Your Sister's Sister ,21618,973,2,62,125000,2011,1
400,144,258,6000,167007184,Casino Royale ,470483,9125,1,2301,150000000,2006,2
217,118,76,3000,10880926,Dead Man Down ,54147,4253,2,127,30000000,2013,1
18,97,49,878,0,Stargate: The Ark of Truth ,15862,4334,5,42,0,2008,2
451,108,13000,40000,334185206,Alice in Wonderland ,306336,79957,0,736,200000000,2010,1
84,98,21,33000,406035,The Believer ,30314,33441,0,159,1500000,2001,2
69,123,204,436,0,Intolerance: Love's Struggle Throughout the Ages ,10718,481,1,88,385907,1916,2
112,105,2,805,63260,Renaissance ,14325,1185,0,90,14000000,2006,1
142,102,148,8000,93607673,America's Sweethearts ,47573,9176,4,343,48000000,2001,1
117,133,46,683,34667015,Licence to Kill ,74009,2371,0,317,32000000,1989,1
91,126,393,862,0,Red River ,21316,2269,0,162,3000000,1948,2
99,89,0,217,52287414,Stand by Me ,271794,644,2,584,8000000,1986,2
459,85,198,2000,80034302,Cloverfield ,296787,3958,0,2192,25000000,2008,2
160,184,34,486,476270,The Baader Meinhof Complex ,29602,1601,2,110,20000000,2008,2
233,112,21000,17000,95308367,Panic Room ,206104,18141,0,850,48000000,2002,1
198,124,845,650,46975183,Shooter ,256213,1640,0,338,61000000,2007,2
152,90,0,4000,4859475,The Virgin Suicides ,116910,7103,0,520,6000000,1999,2
106,106,208,3000,11146409,Deep Rising ,26551,6558,0,273,45000000,1998,1
41,80,9,17000,3101301,Supercross ,3926,21519,1,38,0,2005,0
28,135,22,837,1877179,The Horseman on the Roof ,4885,1508,1,25,0,1995,2
181,107,162,2000,15854988,Far from Heaven ,36542,2447,2,378,13500000,2002,2
205,118,252,529,19673424,Nine ,37446,619,4,232,80000000,2009,1
283,133,219,15000,727883,Donnie Darko ,580999,17040,1,2110,4500000,2001,2
334,104,420,20000,234360014,X-Men: The Last Stand ,383427,21714,0,1912,210000000,2006,1
158,96,31,804,3590010,We Are Your Friends ,20885,3013,0,60,2000000,2015,1
38,11,0,11,0,Robot Chicken             ,32923,11,0,75,0,0,2
358,106,44,596,18298649,Fright Night ,85024,1393,1,242,30000000,2011,1
37,97,18000,10000,326308,Albino Alligator ,6632,13718,3,69,5000000,1996,1
20,45,0,460,0,Scream: The TV Series             ,18058,2380,0,68,0,0,2
287,110,0,3000,58885635,Dawn of the Dead ,194422,10438,0,1057,26000000,2004,2
128,108,11000,11000,3203044,Anything Else ,25165,14843,2,155,18000000,2003,1
145,106,14,2,17473245,Red Planet ,47612,2,1,348,70000000,2000,1
97,109,24,287,28995450,Nanny McPhee Returns ,19230,855,5,59,35000000,2010,1
142,121,38,940,83892374,The X Files ,85720,4230,0,297,66000000,1998,2
265,102,82,622,34350553,The Watch ,104066,2488,4,207,68000000,2012,1
220,119,0,908,33386128,Halloween II ,36372,3226,0,491,15000000,2009,0
309,101,25,17000,18656400,Still Alice ,86077,19673,1,195,5000000,2014,2
16,90,0,57,0,Bang Bang Baby ,137,231,2,16,1000000,2014,1
19,84,0,11000,27979400,Loaded Weapon 1 ,37611,12322,2,72,8200000,1993,1
359,106,174,14000,91439400,Non-Stop ,200647,16967,0,384,50000000,2014,2
235,91,49,72,36200000,Friday the 13th Part III ,31952,174,0,372,4000000,1982,1
27,102,909,909,0,Slacker Uprising ,2242,1674,0,15,2000000,2007,1
182,114,0,975,3519627,The Brothers Bloom ,41737,3014,4,105,20000000,2008,1
474,126,230,24000,89732035,Terminator Genisys ,188457,38873,2,867,155000000,2015,1
253,113,395,8000,40137776,Stranger Than Fiction ,186977,8362,1,529,38000000,2006,2
115,116,13,203,1050445,Joyeux Noel ,21394,773,0,147,22000000,2005,2
63,96,19,1000,115862,The Greatest ,7394,2163,2,50,6000000,2009,1
81,110,107,576,136007,Clean ,3924,776,1,39,4500,2004,1
12,105,0,0,247740,Sex with Strangers ,285,0,0,8,0,2002,0
19,87,65,866,0,Dead Like Me: Life After Death ,10734,3724,1,80,5000000,2009,1
149,122,287,22000,41609593,Ronin ,145422,24270,2,572,55000000,1998,2
81,98,11,966,50189179,The Tuxedo ,61966,2018,2,207,60000000,2002,1
103,103,835,13000,236266,Gerry ,15104,13000,0,290,3500000,2002,1
222,114,89,836,60923325,Get Him to the Greek ,147317,2091,2,197,0,2010,1
308,92,72,623,19059018,"I, Frankenstein ",65709,3165,0,194,65000000,2014,1
169,105,54,3000,51853450,The Odd Life of Timothy Green ,37398,9069,0,110,25000000,2012,1
117,131,53,14000,3752725,The Merchant of Venice ,29715,16252,3,161,18000000,2004,2
39,98,226,953,68856263,Cool Runnings ,69733,2496,1,97,15000000,1993,1
188,120,153,1000,24004159,Around the World in 80 Days ,68722,3175,0,191,110000000,2004,1
63,83,12,2000,11631245,Zoom ,15015,5022,5,113,35000000,2006,0
51,85,0,945,265107,Psycho Beach Party ,4617,2282,1,93,1500000,2000,1
198,97,176,12000,45089048,The Giver ,86251,36064,3,260,25000000,2014,1
78,94,383,4000,58297830,Anastasia ,86347,6017,1,191,50000000,1997,2
118,141,300,805,16123851,Vanity Fair ,17373,1618,2,148,23000000,2004,1
453,124,4000,21000,312057433,Iron Man 2 ,522371,48638,4,723,200000000,2010,2
279,120,508,21000,58700247,Water for Elephants ,95367,36062,1,260,38000000,2011,1
91,88,31,1000,65535067,Deuce Bigalow: Male Gigolo ,59380,2604,1,202,17000000,1999,1
21,87,3,922,0,Jekyll and Hyde... Together Again ,881,1324,0,32,5000000,1982,1
86,109,41,997,61356221,Stomp the Yard ,19505,3544,0,162,14000000,2007,1
29,103,249,2000,8691,Falcon Rising ,4952,3089,1,32,4500000,2014,1
304,96,0,634,0,The Evil Dead ,141219,813,0,740,375000,1981,2
129,106,0,1000,86300000,Young Frankenstein ,112671,2703,0,315,2800000,1974,2
38,44,0,1000,0,Psych             ,67315,4092,2,127,0,0,2
216,94,85,14000,50648679,Resident Evil: Extinction ,149549,16225,1,348,45000000,2007,1
46,114,6,970,3420871,The Ultimate Gift ,14100,3824,2,81,0,2006,2
132,103,61,963,0,Grace of Monaco ,12410,2806,3,62,30000000,2014,1
29,95,4,641,7888703,Teen Wolf Too ,8465,1389,1,65,3000000,1987,0
19,103,6,4000,0,Veronika Decides to Die ,10100,6426,1,42,9000000,2009,1
249,132,47,988,81687587,The Scorch Trials ,138246,2517,0,360,61000000,2015,1
166,106,6,12000,32131830,Final Fantasy: The Spirits Within ,72259,15015,1,788,137000000,2001,1
32,144,54,469,20400000,Duel in the Sun ,6304,2037,0,87,8000000,1946,1
73,124,41,512,8427204,Play It to the Bone ,10100,1523,0,59,24000000,1999,1
1,167,10,353,610991,Fiza ,2715,773,3,19,1000000,2000,1
84,97,15,18000,1029017,A Home at the End of the World ,12049,21107,2,135,6500000,2004,1
37,127,16,565,35422828,Selena ,19126,1735,1,155,20000000,1997,1
73,99,13000,282,0,The Trouble with Harry ,24891,1041,0,150,1200000,1955,2
131,94,383,13000,22751979,Titan A.E. ,52244,15857,0,377,75000000,2000,1
235,90,38,2000,72266306,Vantage Point ,127528,6775,4,422,40000000,2008,1
265,108,192,1000,41777564,The Hills Have Eyes ,129719,4500,0,855,15000000,2006,1
38,108,14,1000,594904,Blue Like Jazz ,2582,1805,0,89,1200000,2012,1
112,110,99,12000,90636983,The Game Plan ,44021,15170,0,83,22000000,2007,1
95,106,12,962,17951431,The Glass House ,25462,4239,1,200,30000000,2001,1
23,90,2000,2000,0,Never Back Down 2: The Beatdown ,13599,3666,3,30,3000000,2011,1
99,120,11,16,76400000,Fantasia ,71321,16,0,230,2280000,1940,2
38,82,12,23,25571351,Jonah: A VeggieTales Movie ,3135,49,0,78,14000000,2002,1
33,91,0,636,21370057,Raising Cain ,9903,1852,0,80,12000000,1992,1
147,117,0,883,7458269,A Good Year ,70698,3611,1,196,35000000,2006,1
78,87,0,696,0,Banshee Chapter ,6265,1618,1,56,950000,2013,1
29,132,79,14000,8600000,The Bounty ,17982,28094,2,95,25000000,1984,2
228,86,17,520,17683670,Apollo 18 ,47227,1520,0,323,5000000,2011,1
141,130,317,18000,19593740,The Life of David Gale ,88270,32637,0,420,50000000,2003,2
288,122,909,503,119078393,Fahrenheit 9/11 ,113152,1448,0,1416,6000000,2004,2
72,105,631,678,103738726,Dick Tracy ,47819,2096,1,164,100000000,1990,1
81,94,26,16000,6241697,Dick ,16059,31005,2,210,13000000,1999,1
1,112,0,86,0,Living Dark: The Story of Ted the Caver ,28,139,0,1,1750000,2013,1
62,124,0,2000,54800000,Ordinary People ,35130,5122,3,283,6000000,1980,2
95,112,37,3000,26494611,Blast from the Past ,48621,5709,0,239,35000000,1999,1
52,114,46,818,6543194,I Dreamed of Africa ,3740,1778,1,61,34000000,2000,1
341,130,22000,23000,53082743,The Prestige ,844052,63986,1,1100,40000000,2006,2
388,131,0,10000,15700000,The Hurt Locker ,332065,11114,0,876,15000000,2008,2
46,101,6,812,14108518,How to Deal ,8215,1882,1,95,16000000,2003,1
125,107,234,1000,6998324,Our Brand Is Crisis ,11476,3944,2,50,28000000,2015,1
56,89,149,912,6719300,Smoke Signals ,8224,3163,3,132,2000000,1998,2
12,94,0,722,69582,Stiff Upper Lips ,867,1477,2,21,0,1998,1
156,139,274,625,147637474,As Good as It Gets ,224671,1474,0,470,50000000,1997,2
81,138,0,10000,141340178,A Few Good Men ,181879,14619,0,319,40000000,1992,2
298,163,14000,745,47379090,Munich ,176936,2529,0,824,70000000,2005,2
44,120,108,634,1055654,Peaceful Warrior ,20426,2673,1,175,10000000,2006,2
67,84,64,2000,11860839,Glee: The 3D Concert Movie ,5156,4617,0,21,9000000,2011,1
54,88,11,1000,828,Perrier's Bounty ,5133,2728,8,31,0,2009,1
23,52,0,164,0,The Returned             ,15762,654,9,47,0,0,2
253,105,154,884,80050171,Disturbia ,186984,2287,0,491,20000000,2007,1
83,104,18,1000,10106233,Prom ,12702,5190,0,32,8000000,2011,1
287,115,549,3000,54557348,Crash ,361169,5732,0,1624,6500000,2004,2
151,124,44,4000,36447959,Million Dollar Arm ,35833,6393,0,96,25000000,2014,2
96,91,6,488,0,The Toxic Avenger ,19253,553,0,147,475000,1984,1
64,99,71,2000,16930185,Serving Sara ,14315,4169,2,101,29000000,2002,1
10,82,7,584,7557877,The Jerky Boys ,2129,1002,0,37,0,1995,0
283,115,663,1000,261437578,The Incredibles ,479166,1901,0,815,92000000,2004,2
81,95,4000,4000,5308707,Made ,15053,5245,2,165,5000000,2001,1
112,93,11,443,48430,The Perfect Host ,20176,1452,1,73,500000,2010,1
113,104,63,67,19406406,Oceans ,7630,152,0,42,40000000,2009,2
335,129,0,12000,49874933,Pain & Gain ,161168,13573,4,287,26000000,2013,1
50,121,55,1000,2221994,Smilla's Sense of Snow ,11747,3125,1,99,35000000,1997,1
14,105,7,2000,609042,The Basket ,449,3475,2,38,1300000,1999,1
154,107,503,264,0,The Omen ,80958,673,2,310,2800000,1976,2
101,118,160,862,0,From Here to Eternity ,33987,2247,5,150,1650000,1953,2
18,90,4,919,13493,Broken Vessels ,531,2288,0,19,600000,1998,1
140,106,448,9000,54734,Regression ,20821,10982,1,62,0,2015,1
147,93,37,885,40846082,House on Haunted Hill ,45317,2872,0,536,19000000,1999,1
117,147,179,40000,41954997,Donnie Brasco ,225122,56014,2,234,35000000,1997,2
196,116,51,18000,54414716,Horrible Bosses 2 ,114294,30571,7,187,42000000,2014,1
124,88,108,876,2975649,Miss Potter ,23864,1518,1,142,30000000,2006,2
230,111,0,796,13034417,Whip It ,55665,2633,1,118,15000000,2009,1
180,101,21,22000,51097664,Hide and Seek ,70205,23328,0,450,30000000,2005,1
193,92,43,904,3094687,Celeste & Jesse Forever ,24391,1751,2,61,0,2012,1
5,86,12,238,33598,"I Love You, Don't Touch Me! ",405,623,1,15,0,1997,1
261,109,0,1000,16901126,The Devil's Rejects ,76267,3544,0,687,7000000,2005,1
14,90,7,890,92362,The Salon ,444,3138,7,5,1500000,2005,0
20,102,0,473,13220,Supercapitalist ,289,892,0,9,0,2012,0
238,95,243,969,100659,The House of the Devil ,30160,3833,0,193,900000,2009,1
166,98,99,12000,67128202,Race to Witch Mountain ,43328,14007,3,110,65000000,2009,1
147,95,425,973,22526144,My Super Ex-Girlfriend ,53884,2737,1,203,30000000,2006,1
2,87,0,584,0,The Californians ,299,1924,3,11,0,2005,0
323,119,0,29000,22877808,Revolutionary Road ,152591,53895,0,414,35000000,2008,2
21,117,71,433,0,Sheena ,3334,611,1,52,25000000,1984,0
11,90,15,900,0,Against the Wild ,840,1724,3,9,2000000,2013,0
119,93,19,15000,3749061,The Cold Light of Day ,28629,30134,3,113,20000000,2012,0
195,97,197,13000,122288,Centurion ,64777,15293,0,201,0,2010,1
135,94,607,933,34238611,The Hunted ,35830,2248,1,321,55000000,2003,1
63,95,21,1000,76657000,The Muppet Movie ,25498,5673,0,92,0,1979,2
93,118,49,11000,16252765,Original Sin ,44913,11662,1,181,42000000,2001,1
242,122,0,326,33201661,Amélie ,534262,809,0,1314,77000000,2001,2
168,97,11,14000,71500556,Bridget Jones's Diary ,171568,16999,3,571,26000000,2001,1
77,86,90,962,9402410,Fun Size ,11233,3715,1,32,14000000,2012,1
116,90,34,966,4360548,Solitary Man ,13371,2661,7,60,15000000,2009,1
252,137,179,17000,717753,On the Road ,33107,33747,4,128,25000000,2012,1
1,66,0,0,0,UnDivided ,6,0,2,1,250000,2013,2
22,143,688,638,5000000,Darling Lili ,1547,788,2,50,25000000,1970,1
335,123,0,23000,10137502,The Walk ,77394,23031,0,195,35000000,2015,2
88,101,503,13000,60328558,Scrooged ,61396,18734,1,159,32000000,1988,2
100,84,0,634,173066,My Name Is Bruce ,21379,1238,1,88,1500000,2007,1
159,97,70,2000,86049418,Mean Girls ,245989,5032,4,554,17000000,2004,2
63,107,0,29000,18636537,The Quick and the Dead ,69197,29743,0,216,32000000,1995,1
161,106,34,3000,17281832,Inkheart ,60232,5329,3,110,60000000,2008,1
241,114,29,956,32721635,The Last House on the Left ,67822,3861,0,279,15000000,2009,1
76,90,138,373,4542775,Miss March ,18313,1831,2,73,6000000,2009,1
47,99,8,798,104257,Human Traffic ,19194,1430,2,160,2200000,1999,2
64,135,133,898,1666262,The White Countess ,5321,2096,0,78,16000000,2005,1
355,116,473,833,83552429,Battle Los Angeles ,154955,4001,0,800,70000000,2011,1
292,144,0,63,2222647,The White Ribbon ,52958,167,0,193,12000000,2009,2
216,118,473,18000,73343413,Law Abiding Citizen ,217480,22517,0,429,50000000,2009,2
27,122,0,12000,41252428,The Mirror Has Two Faces ,11453,13716,0,71,42000000,1996,1
168,105,31,390,30659817,Delivery Man ,59805,1006,10,95,26000000,2013,1
41,78,0,971,76501438,Rugrats in Paris: The Movie ,8146,4527,0,49,30000000,2000,1
108,90,29,22000,87856565,Along Came Polly ,106909,24534,1,268,42000000,2004,1
21,97,2,4000,0,Virgin Territory ,6691,4900,2,28,38000000,2007,0
233,95,96,24000,148337537,Megamind ,172754,46120,3,187,130000000,2010,2
138,113,36,537,87704396,Entrapment ,88132,1302,1,274,66000000,1999,1
12,99,0,578,830210,Atlas Shrugged: Who Is John Galt? ,1900,3382,0,56,5000000,2014,0
95,125,44,593,60000000,Superman III ,49934,2329,1,224,39000000,1983,0
193,131,226,12000,173005002,National Treasure ,255447,13679,0,692,100000000,2004,1
82,96,70,883,4170647,East Is East ,14548,1616,0,161,1900000,1999,1
167,101,10,1000,11956207,Sorority Row ,24012,3142,2,126,16000000,2009,1
91,148,72,582,39251128,Anna and the King ,31080,804,2,217,75000000,1999,1
117,86,10,12000,45860039,Walking Tall ,53118,14146,1,221,56000000,2004,1
125,100,41,45000,39989008,I Still Know What You Did Last Summer ,55398,49847,2,418,24000000,1998,0
36,119,0,816,836641,Illuminata ,1402,1585,0,40,0,1998,1
100,102,346,947,23106,Dear Wendy ,9003,2572,0,58,50000000,2004,1
116,103,84,12000,37035515,28 Days ,34597,23864,1,194,43000000,2000,1
262,129,195,827,20167424,The Secret in Their Eyes ,131831,1044,0,231,2000000,2009,2
33,77,0,846,0,Containment ,1355,2044,0,21,0,2015,0
8,81,0,119,18195,The Sticky Fingers of Time ,336,154,0,7,250000,1997,1
181,120,0,105,25000000,Some Like It Hot ,175196,527,2,350,2883848,1959,2
93,104,109,405,7739049,Being Julia ,10680,847,2,112,18000000,2004,2
32,99,387,8000,127144,The Wendell Baker Story ,5159,9608,4,27,8000000,2005,1
45,83,119,885,7001720,An American Carol ,8560,2907,2,205,12000000,2008,0
8,105,5,590,0,Speedway Junky ,1434,1042,2,43,1000000,1999,1
645,182,0,5000,303001229,The Hobbit: An Unexpected Journey ,637246,9152,0,1367,180000000,2012,2
313,105,0,539,50549107,Jack Ryan: Shadow Recruit ,99035,1411,3,289,60000000,2014,1
